"","ID","Title","Premium","Period.Of.Rebalancing","Number.Of.Instruments","Markets.Traded","Instruments.Available","Complexity","Backtest.Period.Source","Backtest.Length","Indicative.Performance","Volatility","Maximum.Drawdown","Confidence.In.Anomaly","Keywords","Sharpe.Ratio","Fundamental reason","Hedge for stocks during bear markets","Introduction","Simple trading strategy","Source Paper"
"367",367,"Timing S&P500 Using Full vs. Partial Employment","Yes","Monthly","2*","equities, bonds","ETFs, futures, CFDs,funds","Simple strategy","1993-2017",25,"12.01%*","11.05%*","-16.22%*","Strong","market timing, seasonality, asset class picking",0.72,NA,NA,NA,NA,NA
"368",368,"Betting Against Alpha","Yes","Yearly","1000*","equities","stocks","Complex strategy","1973-2017",45,"10.30%*","20.29%*",NA,"Strong","equity long short, stock picking, beta factor",0.31,NA,NA,NA,NA,NA
"369",369,"Earnings Acceleration Effect in Stocks","Yes","Daily","1000*","equities","stocks","Complex strategy*","1972-2015",44,"23.87%*","13.81%*",NA,"Strong*","earnings announcement, stock picking, equity long short, momentum, momentum in stocks",1.44,NA,NA,NA,NA,NA
"370",370,"Value-Growth Timing","Yes","Monthly","263*","equities","stocks","Complex strategy","1972-2014",43,"7.19%*","19.61%*",NA,"Strong","value, equity long short, growth stocks, style picking",0.37,NA,NA,NA,NA,NA
"371",371,"Supply Chain Based Equity Strategy","Yes","Daily","1000*","equities","stocks","Very complex strategy","1989-2014",26,"34.84%*","58.68%*",NA,"Strong","equity long short, stock picking",0.53,NA,NA,NA,NA,NA
"372",372,"Trading Based on Levered ETFs Speculation Sentiment","Yes","Monthly","1000*","equities","stocks","Very complex strategy","2010-2016",7,"17.98%*","18.51%*",NA,"Strong","sentiment, equity long short",0.76,NA,NA,NA,NA,NA
"373",373,"Style Concentration and Stock Returns","Yes","Quarterly","1000*","equities","stocks","Complex strategy","1997-2015",19,"9.82%*","12.26%*",NA,"Strong","stock picking, equity long short",0.47,NA,NA,NA,NA,NA
"374",374,"Political Uncertainty and Commodity Prices","Yes","Quarterly","87*","commodities","futures, forwards, swaps, CFDs, ETFs","Simple strategy","1960-2017",58,"6.40%*",NA,NA,"Moderately strong","seasonality, sentiment, market timing",0,NA,NA,NA,NA,NA
"375",375,"Cross-Section of Stock Returns Predicted by Commitment of Traders Information","Yes","Weekly","136*","equities","stocks","Very complex strategy","2006-2017",12,"25.65%*","27.86%*",NA,"Strong","stock picking, equity long short",0.78,NA,NA,NA,NA,NA
"376",376,"Combining Fundamental FSCORE and Equity Short-Term Reversals","No","Monthly","1000*","equities","stocks","Very complex strategy","1984-2015",32,"12.01%*","20.61%*",NA,"Strong","reversal, equity long short, financial statements effect, stock picking",0.39,"There are three reasons to use FSCORE. Firstly, FSCORE is a comprehensive metric of a firm’s fundamental strength, because this score synthesizes information from nine signals along three dimensions of a firm’s financial performance (profitability, change in financial leverage and liquidity, and change in operational efficiency). Secondly, the fundamental information is gathered directly from the financial statements, which obviates the measurement error problem. And lastly, FSCORE is a nonparametric measure, comparing with a parametric approach, FSCORE is more robust and helps to reduce concerns over potential estimation biases. Moving into reasons for functionality of the proposed strategy, results support the hypothesis that short-term reversals are influenced by both noise trading and investor underreaction to fundamental information. Also results from regression analysis suggest that both noise trading and fundamental information significantly influence stock returns in the short horizon. No doubt, there is an conclusion that investor underreaction to fundamental information coupled with a noise trading can explain the observed empirical patterns in short-term reversals. Moreover, results indicate that the bid-ask spread cannot be the main source of the profitability for short-term reversals and the results are not particularly sensitive to alternative definitions of fundamental strength. Last but not least, simple short-term reversal and industry-adjusted reversal strategies fail to be profitable in the presence of transaction costs, however fundamental anchored reversal strategies are economically profitable even in the presence of transaction costs.","Yes - Equity reversal strategies are usually type of ""liquidity providing"" strategies and as such they usually perform well during market crises. However, reversal strategies are also naturally a ""short volatility"" strategies, their returns increase mainly in the weeks following large stock market market declines. Traders must be catious during crisis during days with a high volatility as reversal strategies usually force traders to buy stocks which performed especially bad (and to sell short stocks with an extremelly positive short term performance). This position is emotionally hard to open and risk management of reversal strategies must be also very strict during these days. We recommend reading research paper by Nagel: ""Evaporating Liquidity"" to gain insight into behaviour of reversal strategies during crises.","The short-term reversal in stock returns is already a well known and a well established anomaly that appears to contradict the weak-form market efficiency. Strategy based on this anomaly buys past winners and sells past losers. A possible and sensible explanation of the short-term reversal phenomenon is the overreaction of investors. Research in the past focused primarily on noise trading and ignored the important role of fundamental information. Curiously, new research suggests that there is a need to study the impact of fundamental news on short-term return reversals. Where a nonparametric metric of fundamental strength (FSCORE) is used to measure the impact from fundamental information. The need to measure the aforementioned impact is clear - there is an overwhelming evidence that investors underreact to fundamental news. Moreover, fundamental information metric has a persistent predictive effect on stock returns, what is consistent with the hypothesis of the slow diffusion of information and investor underreaction. Simply said, high FSCORE firms tend to earn much higher returns than low FSCORE firms. The paper has found significant evidence that recent losers with strong fundamental strength and recent winners with weak fundamental strength experience stronger reversals than other reversal portfolio strategies. A fundamental-anchore reversal strategy exploits this finding and this reversal strategy could generate a high significant average monthly returns that outperform the profit from the unconditional and traditional reversal strategy. The paper primarily studies all common stocks, however we present the data about large stocks since the small stocks bear their own unique features.","The investment universe consists of common stocks (share code 10 or 11) listed in NYSE, AMEX and NASDAQ exchanges. Stocks with prices less than $5 at the end of formation period are excluded. The range of FSCORE is from zero to nine points. Each signal is equal to one (zero) point if the signal indicates positive (negative) financial performance. A firm scores one point if it has realized a positive return-on-assets (ROA), a positive cash flow from operations, a positive change in ROA, a positive difference between net income from operations (Accrual), a decrease in the ratio of long-term debt to total assets, a positive change in the current ratio, no issuance of new common equity, a positive change in gross margin ratio and lastly a positive change in asset turnover ratio. Firstly, construct a quarterly FSCORE using the most recently available quarterly financial statement information. Monthly reversal data are matched each month with a most recently available quarterly FSCORE. Firm is classified as a fundamentally strong firm if the firm’s FSCORE is greater than or equal to seven (7-9), fundamentally middle firm (4-6) and fundamentally weak firm (0-3). Secondly, identify the large stocks subset - those in the top 40% of all sample stocks in term of market capitalization at the end of formation month t. After that, stocks are sorted on the past 1-month returns and firm’s most recently available quarterly FSCORE. Take a long position in past losers with favorable fundamentals (7-9) and simultaneously a short position in past winners with unfavorable fundamentals (0-3). Strategy is equally weighted and rebalanced monthly.","Zhu, Zhaobo and Sun, Licheng and Chen, Min: Noise Trading, Slow Diffusion of Information, and Short-Term Reversals: A Fundamental Analysis Approach https://ssrn.com/abstract=3097420Abstract: Contrary to the conventional wisdom that short-term return reversals are rooted in investors’ overreaction to fundamental news or driven by liquidity-based noninformational shocks alone, we find strong evidence that both noise trading and investor underreaction to fundamental information contribute to the reversal. With help from a comprehensive and nonparametric measure of firms’ fundamental strength, we document that an enhanced short-term reversal strategy that buys past losers with strong fundamentals and sells past winners with weak fundamentals significantly outperforms the unconditional reversal strategy. Our findings are consistent with the predictions of theoretical models where investors underreact to slowly diffusing fundamental information."
"377",377,"Trading Futures Using Basis Indicator","Yes","Monthly","65*","equities, commodities, bonds, currencies","futures, CFDs","Very complex strategy","1975-2016",42,"3.78%*","7.67%*",NA,"Strong","carry trade, term spread",0.49,NA,NA,NA,NA,NA
"378",378,"Time-Series Momentum Factor in Cryptocurrencies","Yes","Weekly","11*","cryptos","cryptos","Simple strategy","2013-2017",5,"6.30%*","8.10%*",NA,"Strong","cryptocurrencies, momentum",0.78,NA,NA,NA,NA,NA
"379",379,"Carry Factor in Cryptocurrencies","Yes","Weekly","11*","cryptos","cryptos","Simple strategy","2013-2017",5,"16.40%*","7.50%*",NA,"Strong","cryptocurrencies, carry trade",2.19,NA,NA,NA,NA,NA
"380",380,"Value Factor in Cryptocurrencies","Yes","Weekly","11*","cryptos","cryptos","Simple strategy","2013-2017",5,"8.00%*","7.10%*",NA,"Strong","cryptocurrencies, value",1.13,NA,NA,NA,NA,NA
"381",381,"Blended Factors in Cryptocurrencies","Yes","Weekly","11*","cryptos","cryptos","Moderately complex strategy","2013-2017",5,"38.30%*","13.20%*",NA,"Strong","cryptocurrencies, momentum, value, carry trade",2.9,NA,NA,NA,NA,NA
"382",382,"The 52-Week High and Short-Term Reversal in Stock Returns","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1967-2015",49,"14.65%*","15.83%*",NA,"Strong*","reversal, equity long short, stock picking",0.67,NA,NA,NA,NA,NA
"383",383,"Moving Average Strategies for Cryptocurrencies","Yes","Daily","1*","cryptos","cryptos","Simple strategy","2013-2018",6,"20.85%*","8.51%*","-6.97%*","Strong","cryptocurrencies, trendfollowing, market timing",2.45,NA,NA,NA,NA,NA
"384",384,"Time-Series Momentum and Carry","Yes","Monthly","65*","equities, commodities, bonds, currencies","futures, CFDs","Simple strategy","1975-2016",42,"9.20%*","10.00%*",NA,"Strong","momentum, carry trade",0.92,NA,NA,NA,NA,NA
"385",385,"Weather-Based Equity Trading Strategy","Yes","Daily","16*","equities","futures, ETFs","Very complex strategy","1993-2012",20,"16.78%*","23.31%*",NA,"Strong","country picking, seasonality",0.55,NA,NA,NA,NA,NA
"386",386,"Enhanced Betting Against Beta Strategy in Equities","Yes","Monthly","1000*","equities","stocks","Complex strategy","1995-2009",15,"24.15%*","27.61%*",NA,"Strong","beta factor, equity long short, stock picking",0.73,NA,NA,NA,NA,NA
"387",387,"Moving Averages Distance Strategy in Equities","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1977-2015",39,"10.12%*","14.15%*",NA,"Strong*","equity long short, trendfollowing, stock picking",0.43,NA,NA,NA,NA,NA
"388",388,"Implied Skewness Strategy in Commodities","Yes","Daily","8*","commodities","futures, CFDs","Complex strategy","2008-2016",9,"17.21%*","28.00%*",NA,"Strong","volatility effect",0.47,NA,NA,NA,NA,NA
"389",389,"Cryptomarket Discounts","Yes","Daily","1*","cryptos","cryptos","Complex strategy","2015-2018",4,"17.82%*","3.28%*",NA,"Strong","cryptocurrencies",4.21,NA,NA,NA,NA,NA
"390",390,"Lottery Stocks and the 52-Week High","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1963-2016",54,"18.58%*","19.25%*",NA,"Strong*","sentiment, equity long short, stock picking",0.76,NA,NA,NA,NA,NA
"391",391,"The Conservative Formula","Yes","Quarterly","1000*","equities","stocks","Simple strategy","1929-2016",88,"15.10%*","16.50%*",NA,"Strong","stock picking, momentum, volatility effect",0.67,NA,NA,NA,NA,NA
"392",392,"Intraday Market-Wide Ups/Downs and Returns","Yes","Intraday","1000*","equities","futures, CFDs, ETFs","Very complex strategy","2012-2015",4,"23.75%*","31.56%*",NA,"Strong","market timing, sentiment",0.63,NA,NA,NA,NA,NA
"393",393,"Oil Surprise Factor in Equities","Yes","Quarterly","1000*","equities","stocks","Complex strategy*","1974-2015",42,"6.80%*","13.50%*",NA,"Strong*","equity long short, stock picking, earnings announcement",0.21,NA,NA,NA,NA,NA
"394",394,"Curvature Factor in Currencies","Yes","Monthly","10*","currencies","futures, forwards, swaps, CFDs","Very complex strategy","1974-2015",42,"2.64%*","6.70%*",NA,"Strong","FX anomaly, carry trade, forex system",0.39,NA,NA,NA,NA,NA
"395",395,"Sales Seasonality Premium","Yes","Monthly","1000*","equities","stocks","Complex strategy*","1970-2016",47,"8.73%*","12.35%*",NA,"Strong*","seasonality, equity long short, financial statements effect, stock picking",0.38,NA,NA,NA,NA,NA
"396",396,"When to Own Stocks and When to Own Gold","Yes","Yearly","2*","equities, commodities","ETFs, CFDs, futures","Simple strategy","1946-2016",71,"10.00%*","14.00%*","-28.00%*","Moderately strong","asset class picking, seasonality, rotational system, market timing, fund picking",0.43,NA,NA,NA,NA,NA
"397",397,"Accruals Momentum","Yes","Yearly","1000*","equities","stocks","Very complex strategy","1980-2016",37,"9.94%*","11.10%*",NA,"Strong","accruals effect, momentum, financial statements effect, equity long short, stock picking",0.54,NA,NA,NA,NA,NA
